2015-06-17 17:28:02,118 [Thread-84:1248] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'ricyk1beb9jxz0m84cuqmb2mpvm0dvy5' AND `django_session`.`expire_date` > '2015-06-17 09:28:02') LIMIT 21; args=('ricyk1beb9jxz0m84cuqmb2mpvm0dvy5', u'2015-06-17 09:28:02')
2015-06-17 17:28:02,130 [Thread-84:1248] [django.db.backends:91] [utils:execute] [DEBUG]- (0.005) SELECT `app01_bbs`.`id`, `app01_bbs`.`category_id`, `app01_bbs`.`title`, `app01_bbs`.`summary`, `app01_bbs`.`content`, `app01_bbs`.`author_id`, `app01_bbs`.`view_count`, `app01_bbs`.`ranking`, `app01_bbs`.`created_at`, `app01_bbs`.`updated_at` FROM `app01_bbs` WHERE `app01_bbs`.`category_id` = 1; args=(1,)
2015-06-17 17:28:03,009 [Thread-89:2720] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2015-06-17 17:28:03,009 [Thread-89:2720] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT `app01_category`.`id`, `app01_category`.`name`, `app01_category`.`administrator_id`, `app01_category`.`message` FROM `app01_category`; args=()
2015-06-17 17:28:03,013 [Thread-89:2720] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'ricyk1beb9jxz0m84cuqmb2mpvm0dvy5' AND `django_session`.`expire_date` > '2015-06-17 09:28:03') LIMIT 21; args=('ricyk1beb9jxz0m84cuqmb2mpvm0dvy5', u'2015-06-17 09:28:03')
2015-06-17 17:28:03,016 [Thread-89:2720] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT `app01_bbs`.`id`, `app01_bbs`.`category_id`, `app01_bbs`.`title`, `app01_bbs`.`summary`, `app01_bbs`.`content`, `app01_bbs`.`author_id`, `app01_bbs`.`view_count`, `app01_bbs`.`ranking`, `app01_bbs`.`created_at`, `app01_bbs`.`updated_at` FROM `app01_bbs` WHERE `app01_bbs`.`category_id` = 2; args=(2,)
2015-06-17 17:28:03,815 [Thread-90:6520] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2015-06-17 17:28:03,816 [Thread-90:6520] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT `app01_category`.`id`, `app01_category`.`name`, `app01_category`.`administrator_id`, `app01_category`.`message` FROM `app01_category`; args=()
2015-06-17 17:28:03,819 [Thread-90:6520] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'ricyk1beb9jxz0m84cuqmb2mpvm0dvy5' AND `django_session`.`expire_date` > '2015-06-17 09:28:03') LIMIT 21; args=('ricyk1beb9jxz0m84cuqmb2mpvm0dvy5', u'2015-06-17 09:28:03')
2015-06-17 17:28:03,822 [Thread-90:6520] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT `app01_bbs`.`id`, `app01_bbs`.`category_id`, `app01_bbs`.`title`, `app01_bbs`.`summary`, `app01_bbs`.`content`, `app01_bbs`.`author_id`, `app01_bbs`.`view_count`, `app01_bbs`.`ranking`, `app01_bbs`.`created_at`, `app01_bbs`.`updated_at` FROM `app01_bbs` WHERE `app01_bbs`.`category_id` = 3; args=(3,)
2015-06-17 17:28:04,700 [Thread-91:7396] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2015-06-17 17:28:04,701 [Thread-91:7396] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT `app01_category`.`id`, `app01_category`.`name`, `app01_category`.`administrator_id`, `app01_category`.`message` FROM `app01_category`; args=()
2015-06-17 17:28:04,706 [Thread-91:7396] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'ricyk1beb9jxz0m84cuqmb2mpvm0dvy5' AND `django_session`.`expire_date` > '2015-06-17 09:28:04') LIMIT 21; args=('ricyk1beb9jxz0m84cuqmb2mpvm0dvy5', u'2015-06-17 09:28:04')
